epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,170.735,1.30934,1.42822,1.16288,0.42508,0.11345,0.11284,0.04572,2.47008,2.60359,1.22142,0.0700896,0.00332338,0.00332338
2,334.394,1.22271,0.88524,1.1044,0.42655,0.16389,0.15753,0.06432,2.42502,2.08803,1.22632,0.0400237,0.00659081,0.00659081
3,497.168,1.25688,0.90447,1.13372,0.34088,0.13662,0.11914,0.0443,2.62372,3.92141,1.30513,0.00989175,0.00979225,0.00979225
4,660.238,1.27902,0.90845,1.15876,0.19874,0.08953,0.06326,0.02869,2.44796,2.94919,1.24582,0.009703,0.009703,0.009703
5,824.022,1.22355,0.83195,1.13726,0.29008,0.11754,0.09597,0.04041,2.47406,2.45514,1.27735,0.009604,0.009604,0.009604
6,986.432,1.1766,0.77473,1.11784,0.37968,0.13625,0.12017,0.05102,2.39446,2.23239,1.24657,0.009505,0.009505,0.009505
7,1149.17,1.14871,0.73302,1.1033,0.43494,0.15765,0.15575,0.07016,2.26875,2.2047,1.16835,0.009406,0.009406,0.009406
8,1313.66,1.12739,0.71547,1.09514,0.46661,0.18008,0.18023,0.07787,2.25172,1.80555,1.17979,0.009307,0.009307,0.009307
9,1478.54,1.11059,0.68691,1.07768,0.4699,0.11698,0.13368,0.06173,2.30335,2.55948,1.21866,0.009208,0.009208,0.009208
10,1642.89,1.10428,0.68451,1.08123,0.41434,0.11215,0.11405,0.04562,2.5457,2.53828,1.32634,0.009109,0.009109,0.009109
11,1807.83,1.07786,0.65799,1.06554,0.46986,0.15868,0.16324,0.06907,2.39507,2.05385,1.2405,0.00901,0.00901,0.00901
12,1973.33,1.07603,0.65263,1.06643,0.56496,0.20493,0.21349,0.09665,2.20695,1.6362,1.13379,0.008911,0.008911,0.008911
13,2135.97,1.06309,0.63719,1.06046,0.47783,0.18948,0.19265,0.08108,2.32164,1.83095,1.18725,0.008812,0.008812,0.008812
14,2300.4,1.05042,0.62401,1.05462,0.47005,0.1598,0.16261,0.0695,2.28911,2.24571,1.18714,0.008713,0.008713,0.008713
15,2465.11,1.04507,0.62242,1.05017,0.53777,0.16631,0.18198,0.08138,2.19705,2.01226,1.17232,0.008614,0.008614,0.008614
16,2624.33,1.03434,0.61124,1.04556,0.54755,0.18809,0.19709,0.08371,2.282,1.96583,1.15196,0.008515,0.008515,0.008515
17,2786.15,1.03044,0.60303,1.04296,0.48917,0.17692,0.17407,0.07332,2.26528,1.98592,1.15826,0.008416,0.008416,0.008416
18,2943.16,1.02673,0.59712,1.03975,0.52022,0.18948,0.19023,0.07777,2.3388,1.91638,1.20945,0.008317,0.008317,0.008317
19,3099.83,1.02299,0.59728,1.04221,0.55043,0.21033,0.22033,0.09323,2.28181,1.77192,1.15074,0.008218,0.008218,0.008218
