epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1547.11,1.1824,0.88269,1.21554,0.54723,0.2014,0.23567,0.09112,2.58428,2.26644,1.24174,0.0700112,0.00333209,0.00333209
2,3066.86,1.21982,0.80444,1.22127,0.4592,0.14062,0.13721,0.06314,2.57202,2.31229,1.31319,0.0399452,0.00659943,0.00659943
3,4583.62,1.28701,0.91345,1.28422,0.47823,0.1745,0.17602,0.07236,2.48467,2.10766,1.26095,0.00981324,0.00980078,0.00980078
4,6097.09,1.30481,0.91838,1.31637,0.4459,0.1128,0.12517,0.05297,2.53066,2.79812,1.30056,0.009703,0.009703,0.009703
5,7610.79,1.25331,0.84395,1.28422,0.53302,0.17292,0.18068,0.07852,2.47419,2.13146,1.26687,0.009604,0.009604,0.009604
6,9124.09,1.21059,0.79466,1.27439,0.43871,0.15682,0.15589,0.07274,2.35252,2.28439,1.24479,0.009505,0.009505,0.009505
7,10635,1.17842,0.76076,1.24817,0.42889,0.18101,0.17104,0.06924,2.54048,2.08242,1.2976,0.009406,0.009406,0.009406
8,12145.9,1.15056,0.72986,1.23895,0.56616,0.16311,0.18808,0.08716,2.33211,2.36932,1.21582,0.009307,0.009307,0.009307
9,13658,1.12948,0.70319,1.22349,0.51598,0.19907,0.21047,0.10067,2.19924,1.98516,1.16609,0.009208,0.009208,0.009208
10,15173.5,1.1158,0.68321,1.21819,0.51999,0.16631,0.18615,0.0844,2.35463,2.25359,1.22935,0.009109,0.009109,0.009109
11,16688.2,1.10307,0.6725,1.20195,0.46812,0.18334,0.18523,0.08002,2.31489,2.09841,1.20038,0.00901,0.00901,0.00901
12,18203.8,1.08821,0.66823,1.1999,0.51735,0.2108,0.22192,0.10142,2.25799,1.99772,1.19759,0.008911,0.008911,0.008911
13,19716,1.07111,0.63966,1.19137,0.55766,0.21987,0.23049,0.09868,2.29597,1.94388,1.19996,0.008812,0.008812,0.008812
14,21301.4,1.06298,0.64092,1.18146,0.61105,0.20484,0.23006,0.10458,2.25867,2.00502,1.19397,0.008713,0.008713,0.008713
15,22893,1.05259,0.62131,1.17846,0.64791,0.20503,0.23461,0.10768,2.21543,1.96964,1.18471,0.008614,0.008614,0.008614
16,24489.6,1.04012,0.61473,1.1755,0.63004,0.20102,0.2428,0.10996,2.22929,2.07695,1.16691,0.008515,0.008515,0.008515
17,26073.6,1.03058,0.60114,1.17283,0.55233,0.22075,0.22969,0.10509,2.23611,1.85058,1.17647,0.008416,0.008416,0.008416
18,27646.6,1.02915,0.61006,1.1716,0.63726,0.22057,0.2464,0.10632,2.27135,1.87455,1.18425,0.008317,0.008317,0.008317
19,1513.82,1.01886,0.59019,1.16139,0.59028,0.23797,0.25833,0.11458,2.19272,1.7122,1.15484,0.008218,0.008218,0.008218
20,3019.26,1.01151,0.58541,1.15659,0.61813,0.24104,0.26564,0.1189,2.19164,1.8517,1.16531,0.008119,0.008119,0.008119
21,4525.05,1.0001,0.57891,1.14995,0.60234,0.23937,0.25792,0.11313,2.24183,1.84234,1.17091,0.00802,0.00802,0.00802
22,6031.2,0.9931,0.56647,1.14796,0.60923,0.23839,0.25535,0.11707,2.16445,1.70133,1.17067,0.007921,0.007921,0.007921
23,7537.24,0.99249,0.56815,1.14496,0.65393,0.2309,0.26844,0.12376,2.18253,1.90143,1.14874,0.007822,0.007822,0.007822
24,9043.38,0.98301,0.55811,1.1435,0.61708,0.21201,0.24252,0.10507,2.25378,1.90938,1.18592,0.007723,0.007723,0.007723
25,10548.8,0.97557,0.55407,1.12761,0.53453,0.22131,0.22652,0.09321,2.29854,1.8941,1.18403,0.007624,0.007624,0.007624
26,12054.1,0.96726,0.54601,1.12912,0.60494,0.20437,0.24027,0.11107,2.17641,1.98439,1.16067,0.007525,0.007525,0.007525
27,13559.2,0.96183,0.53375,1.12194,0.58933,0.23071,0.2459,0.10696,2.24139,1.7598,1.182,0.007426,0.007426,0.007426
28,15064.9,0.95314,0.53354,1.12692,0.58447,0.21926,0.23695,0.10331,2.25684,1.90093,1.19341,0.007327,0.007327,0.007327
29,16571.3,0.95666,0.53008,1.11677,0.58244,0.24132,0.25919,0.11265,2.19285,1.81967,1.1592,0.007228,0.007228,0.007228
30,18078.9,0.94808,0.53183,1.12054,0.63187,0.26133,0.28112,0.12576,2.1767,1.68257,1.14852,0.007129,0.007129,0.007129
31,19587.4,0.93584,0.51337,1.11252,0.63728,0.22727,0.25887,0.11581,2.17312,1.83301,1.15998,0.00703,0.00703,0.00703
32,21095.3,0.93265,0.51604,1.10809,0.59197,0.22414,0.24017,0.10571,2.22155,1.85587,1.1991,0.006931,0.006931,0.006931
33,22602.4,0.9235,0.50184,1.11137,0.61875,0.22959,0.25983,0.11488,2.20443,1.86373,1.18112,0.006832,0.006832,0.006832
34,24110.5,0.91775,0.49992,1.09841,0.62072,0.20968,0.25211,0.114,2.206,2.07458,1.18067,0.006733,0.006733,0.006733
35,25619.4,0.90694,0.49556,1.09797,0.6052,0.24486,0.26799,0.11672,2.22467,1.77805,1.17968,0.006634,0.006634,0.006634
36,27126.5,0.91245,0.50012,1.09624,0.59829,0.23946,0.26045,0.11278,2.20149,1.75405,1.17367,0.006535,0.006535,0.006535
37,28632.9,0.91109,0.49737,1.09815,0.60506,0.23872,0.25408,0.10787,2.25839,1.73821,1.18978,0.006436,0.006436,0.006436
38,30140.9,0.90031,0.49058,1.09207,0.61228,0.2231,0.25034,0.10639,2.25545,1.89195,1.19359,0.006337,0.006337,0.006337
39,31646.7,0.91331,0.49511,1.10128,0.62145,0.25416,0.27454,0.11931,2.20317,1.70218,1.16221,0.006238,0.006238,0.006238
40,1518.94,0.88245,0.47108,1.08447,0.5913,0.23276,0.25372,0.10497,2.31556,1.78226,1.2168,0.006139,0.006139,0.006139
41,3031.86,0.88389,0.47415,1.08746,0.63907,0.24663,0.27998,0.11734,2.27962,1.76023,1.19882,0.00604,0.00604,0.00604
42,4545.91,0.87607,0.46732,1.07566,0.62746,0.25314,0.28121,0.11943,2.23551,1.73066,1.17285,0.005941,0.005941,0.005941
43,6061.98,0.86646,0.46088,1.06469,0.65199,0.24584,0.28312,0.12361,2.21629,1.77303,1.17725,0.005842,0.005842,0.005842
44,7578.13,0.87166,0.46074,1.06664,0.61441,0.23751,0.26905,0.1189,2.23665,1.86487,1.18635,0.005743,0.005743,0.005743
45,9092.68,0.86014,0.45762,1.06567,0.64478,0.25174,0.2883,0.1271,2.1983,1.8226,1.1755,0.005644,0.005644,0.005644
46,10607.4,0.85841,0.45312,1.06203,0.6365,0.24458,0.27739,0.12158,2.18845,1.89852,1.15641,0.005545,0.005545,0.005545
47,12122.5,0.84686,0.44974,1.06321,0.64425,0.24691,0.28507,0.12429,2.20205,1.76555,1.17748,0.005446,0.005446,0.005446
48,13636.4,0.84712,0.44386,1.05881,0.64933,0.23872,0.27503,0.11901,2.21317,1.83245,1.17661,0.005347,0.005347,0.005347
49,15150.1,0.83988,0.43851,1.05745,0.62504,0.25482,0.28224,0.11968,2.23405,1.73692,1.17798,0.005248,0.005248,0.005248
50,16666.2,0.8393,0.43596,1.05025,0.62587,0.24644,0.28263,0.12259,2.17923,1.81514,1.15943,0.005149,0.005149,0.005149
51,18182.1,0.82806,0.43526,1.05019,0.6413,0.25091,0.28701,0.12477,2.17649,1.82368,1.16417,0.00505,0.00505,0.00505
52,19698.3,0.81837,0.42283,1.04503,0.63803,0.24393,0.28154,0.11998,2.22234,1.86703,1.18612,0.004951,0.004951,0.004951
53,21213.7,0.81635,0.42892,1.04557,0.62547,0.24216,0.27654,0.11907,2.19731,1.88912,1.1745,0.004852,0.004852,0.004852
54,22729.3,0.80815,0.4168,1.04256,0.61481,0.25133,0.27883,0.12057,2.19874,1.84083,1.1765,0.004753,0.004753,0.004753
55,24244.5,0.80622,0.41801,1.03785,0.62051,0.24058,0.27532,0.118,2.21679,1.91693,1.17743,0.004654,0.004654,0.004654
56,25760.9,0.79069,0.40936,1.03395,0.62412,0.25482,0.29001,0.12553,2.20644,1.82205,1.17158,0.004555,0.004555,0.004555
57,27282.3,0.79483,0.41224,1.03593,0.61773,0.25537,0.28843,0.12375,2.21612,1.83387,1.17237,0.004456,0.004456,0.004456
58,28799,0.79032,0.40665,1.02757,0.60945,0.25528,0.2845,0.12071,2.24029,1.78008,1.1816,0.004357,0.004357,0.004357
59,30314.9,0.78282,0.40293,1.02225,0.60965,0.25165,0.28066,0.11929,2.24567,1.8034,1.18618,0.004258,0.004258,0.004258
60,31831,0.79672,0.40852,1.03058,0.61319,0.25603,0.28462,0.12168,2.248,1.76185,1.19266,0.004159,0.004159,0.004159
61,33347.5,0.7982,0.41115,1.02901,0.61724,0.25361,0.28351,0.12114,2.23534,1.78576,1.1867,0.00406,0.00406,0.00406
62,34862.6,0.79099,0.40249,1.0281,0.62423,0.25565,0.2859,0.12121,2.23785,1.7473,1.18378,0.003961,0.003961,0.003961
63,36372.1,0.78672,0.39975,1.02225,0.62177,0.24923,0.27883,0.11873,2.25442,1.76297,1.19051,0.003862,0.003862,0.003862
64,37884.3,0.78568,0.39937,1.02067,0.62586,0.2497,0.28193,0.11984,2.25512,1.78288,1.19234,0.003763,0.003763,0.003763
65,39395.2,0.7783,0.40148,1.0179,0.62708,0.25603,0.28546,0.12158,2.25382,1.75495,1.18993,0.003664,0.003664,0.003664
66,40906,0.77142,0.39078,1.01191,0.63227,0.2604,0.29065,0.1239,2.25502,1.74249,1.18722,0.003565,0.003565,0.003565
67,42416.1,0.76729,0.39031,1.00754,0.63623,0.26124,0.29205,0.12542,2.25855,1.75127,1.18861,0.003466,0.003466,0.003466
68,43931.3,0.76425,0.38609,1.00685,0.64631,0.25612,0.29217,0.12596,2.25255,1.76444,1.18836,0.003367,0.003367,0.003367
69,45445.2,0.7579,0.38356,1.00202,0.63959,0.25501,0.28967,0.12512,2.24493,1.79361,1.18541,0.003268,0.003268,0.003268
70,46960.1,0.75741,0.38714,1.00592,0.64205,0.25556,0.28984,0.12523,2.24281,1.79721,1.18558,0.003169,0.003169,0.003169
